date,datetime,SPOSTMIN,SACTMIN
07/27/2017,2017-07-27 21:24:00,-999,
07/27/2017,2017-07-27 21:31:00,-999,
07/27/2017,2017-07-27 21:39:00,-999,
07/27/2017,2017-07-27 21:45:00,-999,
07/27/2017,2017-07-27 21:52:00,-999,
07/27/2017,2017-07-27 21:59:00,-999,
07/27/2017,2017-07-27 22:03:00,-999,
07/27/2017,2017-07-27 22:11:00,-999,
07/27/2017,2017-07-27 22:17:00,-999,
07/27/2017,2017-07-27 22:24:00,-999,
07/27/2017,2017-07-27 22:30:00,-999,
07/27/2017,2017-07-27 22:38:00,-999,
07/27/2017,2017-07-27 22:45:00,-999,
07/27/2017,2017-07-27 22:52:00,-999,
07/27/2017,2017-07-27 22:59:00,-999,
07/27/2017,2017-07-27 23:03:00,-999,
07/27/2017,2017-07-27 23:10:00,-999,
07/27/2017,2017-07-27 23:17:00,-999,
07/27/2017,2017-07-27 23:24:00,-999,
07/27/2017,2017-07-27 23:30:00,-999,
07/27/2017,2017-07-27 23:38:00,-999,
07/27/2017,2017-07-27 23:45:00,-999,
07/27/2017,2017-07-27 23:52:00,-999,
07/27/2017,2017-07-27 23:59:00,-999,
07/27/2017,2017-07-28 00:03:00,-999,
07/28/2017,2017-07-28 08:52:00,-999,
07/28/2017,2017-07-28 08:59:00,-999,
07/28/2017,2017-07-28 09:03:00,-999,
07/28/2017,2017-07-28 09:10:00,-999,
07/28/2017,2017-07-28 09:17:00,-999,
07/28/2017,2017-07-28 09:24:00,-999,
07/28/2017,2017-07-28 09:30:00,-999,
07/28/2017,2017-07-28 09:38:00,-999,
07/28/2017,2017-07-28 09:45:00,-999,
07/28/2017,2017-07-28 09:52:00,-999,
07/28/2017,2017-07-28 09:59:00,-999,
07/28/2017,2017-07-28 10:03:00,-999,
07/28/2017,2017-07-28 21:03:00,-999,
07/28/2017,2017-07-28 21:10:00,-999,
07/28/2017,2017-07-28 21:17:00,-999,
07/28/2017,2017-07-28 21:24:00,-999,
07/28/2017,2017-07-28 21:30:00,-999,
07/28/2017,2017-07-28 21:38:00,-999,
07/28/2017,2017-07-28 21:45:00,-999,
07/28/2017,2017-07-28 21:52:00,-999,
07/28/2017,2017-07-28 21:59:00,-999,
07/28/2017,2017-07-28 22:03:00,-999,
07/28/2017,2017-07-28 22:10:00,-999,
07/28/2017,2017-07-28 22:17:00,-999,
07/28/2017,2017-07-28 22:24:00,-999,
07/28/2017,2017-07-28 22:30:00,-999,
07/28/2017,2017-07-28 22:38:00,-999,
07/28/2017,2017-07-28 22:45:00,-999,
07/28/2017,2017-07-28 22:52:00,-999,
07/28/2017,2017-07-28 22:59:00,-999,
07/28/2017,2017-07-28 23:03:00,-999,
07/28/2017,2017-07-28 23:10:00,-999,
07/28/2017,2017-07-28 23:17:00,-999,
07/28/2017,2017-07-28 23:24:00,-999,
07/28/2017,2017-07-28 23:30:00,-999,
07/28/2017,2017-07-28 23:38:00,-999,
07/28/2017,2017-07-28 23:45:00,-999,
07/28/2017,2017-07-28 23:52:00,-999,
07/28/2017,2017-07-28 23:59:00,-999,
07/28/2017,2017-07-29 00:03:00,-999,
07/29/2017,2017-07-29 07:52:00,-999,
07/29/2017,2017-07-29 07:59:00,-999,
07/29/2017,2017-07-29 08:03:00,-999,
07/29/2017,2017-07-29 08:10:00,-999,
07/29/2017,2017-07-29 08:17:00,-999,
07/29/2017,2017-07-29 08:24:00,-999,
07/29/2017,2017-07-29 08:30:00,-999,
07/29/2017,2017-07-29 08:38:00,-999,
07/29/2017,2017-07-29 08:45:00,-999,
07/29/2017,2017-07-29 08:52:00,-999,
07/29/2017,2017-07-29 08:59:00,-999,
07/29/2017,2017-07-29 09:03:00,-999,
07/29/2017,2017-07-29 09:10:00,-999,
07/29/2017,2017-07-29 09:17:00,-999,
07/29/2017,2017-07-29 09:24:00,-999,
07/29/2017,2017-07-29 09:30:00,-999,
07/29/2017,2017-07-29 09:38:00,-999,
07/29/2017,2017-07-29 09:45:00,-999,
07/29/2017,2017-07-29 09:52:00,-999,
07/29/2017,2017-07-29 09:59:00,-999,
07/29/2017,2017-07-29 10:03:00,-999,
07/29/2017,2017-07-29 10:10:00,-999,
07/29/2017,2017-07-29 21:03:00,-999,
07/29/2017,2017-07-29 21:10:00,-999,
07/29/2017,2017-07-29 21:17:00,-999,
07/29/2017,2017-07-29 21:24:00,-999,
07/29/2017,2017-07-29 21:30:00,-999,
07/29/2017,2017-07-29 21:38:00,-999,
07/29/2017,2017-07-29 21:45:00,-999,
07/29/2017,2017-07-29 21:52:00,-999,
07/29/2017,2017-07-29 21:59:00,-999,
07/29/2017,2017-07-29 22:03:00,-999,
07/29/2017,2017-07-29 22:10:00,-999,
07/29/2017,2017-07-29 22:17:00,-999,
07/29/2017,2017-07-29 22:24:00,-999,
07/29/2017,2017-07-29 22:30:00,-999,
07/29/2017,2017-07-29 22:38:00,-999,
07/29/2017,2017-07-29 22:45:00,-999,
07/29/2017,2017-07-29 22:52:00,-999,
07/29/2017,2017-07-29 22:59:00,-999,
07/29/2017,2017-07-29 23:03:00,-999,
07/29/2017,2017-07-29 23:11:00,-999,
07/29/2017,2017-07-29 23:17:00,-999,
07/29/2017,2017-07-29 23:24:00,-999,
07/29/2017,2017-07-29 23:30:00,-999,
07/29/2017,2017-07-29 23:38:00,-999,
07/29/2017,2017-07-29 23:45:00,-999,
07/29/2017,2017-07-29 23:52:00,-999,
07/29/2017,2017-07-29 23:59:00,-999,
07/29/2017,2017-07-30 00:03:00,-999,
07/30/2017,2017-07-30 08:52:00,-999,
07/30/2017,2017-07-30 08:59:00,-999,
07/30/2017,2017-07-30 09:03:00,-999,
07/30/2017,2017-07-30 09:10:00,-999,
07/30/2017,2017-07-30 09:17:00,-999,
07/30/2017,2017-07-30 09:24:00,-999,
07/30/2017,2017-07-30 09:30:00,-999,
07/30/2017,2017-07-30 09:38:00,-999,
07/30/2017,2017-07-30 09:45:00,-999,
07/30/2017,2017-07-30 09:52:00,-999,
07/30/2017,2017-07-30 09:59:00,-999,
07/30/2017,2017-07-30 10:03:00,-999,
07/30/2017,2017-07-30 10:10:00,-999,
07/30/2017,2017-07-30 21:10:00,-999,
07/30/2017,2017-07-30 21:17:00,-999,
07/30/2017,2017-07-30 21:24:00,-999,
07/30/2017,2017-07-30 21:30:00,-999,
07/30/2017,2017-07-30 21:38:00,-999,
07/30/2017,2017-07-30 21:45:00,-999,
07/30/2017,2017-07-30 21:52:00,-999,
07/30/2017,2017-07-30 21:59:00,-999,
07/30/2017,2017-07-30 22:03:00,-999,
07/30/2017,2017-07-30 22:10:00,-999,
07/30/2017,2017-07-30 22:17:00,-999,
07/30/2017,2017-07-30 22:24:00,-999,
07/30/2017,2017-07-30 22:30:00,-999,
07/30/2017,2017-07-30 22:38:00,-999,
07/30/2017,2017-07-30 22:45:00,-999,
07/30/2017,2017-07-30 22:52:00,-999,
